Precinct,Political Party,Count of Voters by Party
,NO AFFILIATION,7
,INDEPENDENT,1
,REPUBLICAN,73
,Count of Voters in 2603:,238
2604,,
,NO AFFILIATION,6
,INDEPENDENT,1
,REPUBLICAN,48
,GREEN,1
,DEMOCRATIC,133
,Count of Voters in 2604:,189
2605,,
,DEMOCRATIC,142
,REPUBLICAN,49
,NO AFFILIATION,12
,INDEPENDENT,1
,LIBERTARIAN,1
,Count of Voters in 2605:,205
2606,,
,DEMOCRATIC,225
,NONE,1
,NO AFFILIATION,10
,INDEPENDENT,2
,REPUBLICAN,55
,Count of Voters in 2606:,293
2607,,
,DEMOCRATIC,141
,UNKNOWN,1
,NO AFFILIATION,4
,REPUBLICAN,46
,Count of Voters in 2607:,192
2608,,
,REPUBLICAN,90
,NO AFFILIATION,11
,DEMOCRATIC,154
,NON-PARTISAN,1
,INDEPENDENT,1
,Count of Voters in 2608:,257
2609,,
,INDEPENDENT,1
,NO AFFILIATION,5
,DEMOCRATIC,167
,REPUBLICAN,55
,Count of Voters in 2609:,228
2610,,
,INDEPENDENT,1
,INDEPENDENT DEMOCRAT,1
,LIBERTARIAN,1
,NO AFFILIATION,16
,INDEPENDENCE,1
,DEMOCRATIC,93
,REPUBLICAN,33
,Count of Voters in 2610:,146
2611,,
,GREEN,1
,INDEPENDENT,4
,OTHER,1
,REPUBLICAN,18
,DEMOCRATIC,163
,NO PARTY,1
,NO AFFILIATION,9
,LIBERTARIAN,1
,Count of Voters in 2611:,198
2612,,
,GREEN,1
,NO PARTY,1
,NON-PARTISAN,1
,NO AFFILIATION,7
,REPUBLICAN,58
,DEMOCRATIC,117
,Count of Voters in 2612:,185
2613,,
,DEMOCRATIC,143
,INDEPENDENT,1
,OTHER,1
,REPUBLICAN,42
,NO AFFILIATION,2
,Count of Voters in 2613:,189
2614,,
,DEMOCRATIC,124
,LIBERTARIAN,1
,NO AFFILIATION,5
,REPUBLICAN,38
,GREEN,1
,INDEPENDENT,3
,Count of Voters in 2614:,172
2615,,
,NO AFFILIATION,5
,DEMOCRATIC,140
,INDEPENDENT,1
,REPUBLICAN,56
,Count of Voters in 2615:,202
2616,,
,DEMOCRATIC,115
,INDEPENDENT,3
,REPUBLICAN,32
,GREEN,2
,NO AFFILIATION,12
,Count of Voters in 2616:,164
2617,,
,INDEPENDENT,2
,GREEN,1
,LIBERTARIAN,1
,NO AFFILIATION,9
,DEMOCRATIC,110
,REPUBLICAN,26
,NON-PARTISAN,2
,Count of Voters in 2617:,151
2618,,
,NO PARTY,1
,REPUBLICAN,53
,DEMOCRATIC,135
,NO AFFILIATION,11
,GREEN,1
,INDEPENDENT,2
,Count of Voters in 2618:,203
2619,,
,NO AFFILIATION,11
,DEMOCRATIC,124
,INDEPENDENT,1
,REPUBLICAN,77
,Count of Voters in 2619:,213
2620,,
,NO AFFILIATION,1
,REPUBLICAN,6
,DEMOCRATIC,17
,Count of Voters in 2620:,24
2621,,
,DEMOCRATIC,90
,REPUBLICAN,32
,NO AFFILIATION,7
,Count of Voters in 2621:,129
2622,,
,GREEN,2
,BULL MOOSE,1
,NON-PARTISAN,1
,NO AFFILIATION,16
,REPUBLICAN,22
2622,,
,DEMOCRATIC,113
,LIBERTARIAN,2
,Count of Voters in 2622:,157
2623,,
,DEMOCRATIC,298
,INDEPENDENT,4
,NONE,1
,REPUBLICAN,66
,NO AFFILIATION,13
,Count of Voters in 2623:,382
2701,,
,REPUBLICAN,10
,NON-PARTISAN,1
,UNKNOWN,1
,DEMOCRATIC,97
,INDEPENDENT,3
,NO AFFILIATION,16
,Count of Voters in 2701:,128
2702,,
,INDEPENDENT,2
,NO AFFILIATION,34
,DEMOCRATIC,181
,GREEN,1
,LIBERTARIAN,1
,REPUBLICAN,8
,Count of Voters in 2702:,227
2703,,
,LIBERTARIAN,1
,REPUBLICAN,21
,NO PARTY,3
,DEMOCRATIC,69
,INDEPENDENT,1
,NO AFFILIATION,23
,UNAFFILIATED,1
,Count of Voters in 2703:,119
2704,,
,INDEPENDENT,1
,NO AFFILIATION,7
,CHRISTIAN,1
,DEMOCRATIC,158
,GREEN,1
,NO PARTY,2
,REPUBLICAN,4
,Count of Voters in 2704:,174
2705,,
,INDEPENDENT,2
,NO PARTY,2
,REPUBLICAN,10
,LIBERTARIAN,1
,NO AFFILIATION,16
,DEMOCRATIC,87
,Count of Voters in 2705:,118
2706,,
,DEMOCRATIC,129
,NO AFFILIATION,16
,GREEN,1
,INDEPENDENT,1
,NO PARTY,1
,REPUBLICAN,7
,Count of Voters in 2706:,155
2707,,
,NO AFFILIATION,12
,NO PARTY,1
,REPUBLICAN,13
,DEMOCRATIC,146
,SOCIALIST WORKERS,1
,GREEN,1
,Count of Voters in 2707:,174
2708,,
,NO PARTY,1
,REPUBLICAN,1
,NO AFFILIATION,13
,DEMOCRATIC,40
,Count of Voters in 2708:,55
2709,,
,DEMOCRATIC,59
,NO AFFILIATION,14
,REPUBLICAN,10
,Count of Voters in 2709:,83
2710,,
,LIBERTARIAN REPUBLICAN,1
,DEMOCRATIC,64
,NO PARTY,4
,NONE,1
,INDEPENDENT,2
,REPUBLICAN,6
,NO AFFILIATION,19
,Count of Voters in 2710:,97
2711,,
,INDEPENDENCE,1
,NO AFFILIATION,8
,INDEPENDENT,1
,REPUBLICAN,11
,NO PARTY,2
,DEMOCRATIC,62
,Count of Voters in 2711:,85
2712,,
,DEMOCRATIC,149
,INDEPENDENT,1
,REPUBLICAN,8
,NO AFFILIATION,7
,OTHER,1
,Count of Voters in 2712:,166
2713,,
,SOCIALIST,1
,NON-PARTISAN,1
,NO AFFILIATION,16
,INDEPENDENT,1
,REPUBLICAN,11
,DEMOCRATIC,110
,NO PARTY,2
,Count of Voters in 2713:,142
2714,,
,DEMOCRATIC,143
,INDEPENDENT,1
,REPUBLICAN,8
,NO AFFILIATION,27
,NON-PARTISAN,1
,GREEN,2
,Count of Voters in 2714:,182
2715,,
,DEMOCRATIC,192
,REPUBLICAN,10
,UNKNOWN,1
,NO AFFILIATION,14
,SOCIALIST,1
,NO PARTY,1
,Count of Voters in 2715:,219
2716,,
,BI-PARTISAN,1
,INDEPENDENT,1
,NO AFFILIATION,11
,REPUBLICAN,2
,UNKNOWN,1
,THE FUN PARTY,1
,DEMOCRATIC,153
,Count of Voters in 2716:,170
2717,,
,INDEPENDENT,1
,NO AFFILIATION,2
,DEMOCRATIC,151
,REPUBLICAN,3
,Count of Voters in 2717:,157
2718,,
,NO AFFILIATION,15
,DEMOCRATIC,58
,INDEPENDENT,2
,REPUBLICAN,9
,Count of Voters in 2718:,84
2719,,
,INDEPENDENT,2
,REPUBLICAN,9
,NO PARTY,1
,DEMOCRATIC,73
,NO AFFILIATION,30
,UNKNOWN,1
,Count of Voters in 2719:,116
2720,,
,LIBERTARIAN,1
,REPUBLICAN,7
,INDEPENDENT,1
,NO AFFILIATION,30
,DEMOCRATIC,81
,Count of Voters in 2720:,120
2721,,
,DEMOCRATIC,52
,GREEN,1
,NO AFFILIATION,18
,INDEPENDENT,2
,REPUBLICAN,15
,Count of Voters in 2721:,88
2722,,
,LIBERTARIAN,1
,REPUBLICAN,28
,NO PARTY,5
,INDEPENDENT,1
,NO AFFILIATION,66
,DEMOCRATIC,168
,Count of Voters in 2722:,269
2723,,
,DEMOCRATIC,221
,GREEN,6
,NO AFFILIATION,35
,INDEPENDENCE,1
,NO PARTY,1
,REPUBLICAN,24
,Count of Voters in 2723:,288
2801,,
,INDEPENDENT,1
,NO AFFILIATION,3
,REPUBLICAN,2
,DEMOCRATIC,128
,Count of Voters in 2801:,134
2802,,
,INDEPENDENT,2
,CONSTITUTIONAL,1
,NO AFFILIATION,4
,DEMOCRATIC,155
,LIBERTARIAN,2
,REPUBLICAN,1
,Count of Voters in 2802:,165
2803,,
,DEMOCRATIC,193
,INDEPENDENT,1
,REPUBLICAN,4
,UNKNOWN,1
,NO AFFILIATION,4
,Count of Voters in 2803:,203
2804,,
,NO AFFILIATION,5
,REPUBLICAN,4
,DEMOCRATIC,163
,Count of Voters in 2804:,172
2805,,
,UNKNOWN,1
,NO AFFILIATION,5
,DEMOCRATIC,208
,REPUBLICAN,3
,Count of Voters in 2805:,217
2806,,
,NO AFFILIATION,3
,DEMOCRATIC,210
,REPUBLICAN,3
,Count of Voters in 2806:,216
2807,,
,REPUBLICAN,5
,DEMOCRATIC,137
,NO AFFILIATION,2
,INDEPENDENT,1
,Count of Voters in 2807:,145
2808,,
,DEMOCRATIC,286
,NO AFFILIATION,3
,REPUBLICAN,1
,Count of Voters in 2808:,290
2809,,
,NO PARTY,1
,DEMOCRATIC,289
,INDEPENDENT,1
,REPUBLICAN,4
,NO AFFILIATION,4
,GREEN,2
,Count of Voters in 2809:,301
2810,,
,INDEPENDENT,1
,REPUBLICAN,8
,NO AFFILIATION,2
,DEMOCRATIC,169
,Count of Voters in 2810:,180
2811,,
,REPUBLICAN,2
,NO AFFILIATION,4
,UNKNOWN,1
,DEMOCRATIC,118
,Count of Voters in 2811:,125
2812,,
,REPUBLICAN,1
,NO AFFILIATION,3
,DEMOCRATIC,169
,NO PARTY,1
,Count of Voters in 2812:,174
2813,,
,UNKNOWN,1
,NO PARTY,1
,INDEPENDENT,1
,REPUBLICAN,3
,NO AFFILIATION,4
,DEMOCRATIC,189
,Count of Voters in 2813:,199
2814,,
,NO AFFILIATION,5
,INDEPENDENT,1
,REPUBLICAN,3
,UNKNOWN,1
,DEMOCRATIC,143
,OTHER,1
,Count of Voters in 2814:,154
2815,,
,NO AFFILIATION,3
,REPUBLICAN,3
,DEMOCRATIC,142
,Count of Voters in 2815:,148
2816,,
,REPUBLICAN,4
,NO AFFILIATION,1
,DEMOCRATIC,159
,INDEPENDENT,1
,Count of Voters in 2816:,165
2817,,
,NO PARTY,2
,DEMOCRATIC,164
,REPUBLICAN,9
,INDEPENDENT DEMOCRAT,1
,LIBERTARIAN,1
,NO AFFILIATION,2
,Count of Voters in 2817:,179
2818,,
,NO PARTY,1
,INDEPENDENT,3
,DEMOCRATIC,179
,NO AFFILIATION,1
,REPUBLICAN,3
,Count of Voters in 2818:,187
2901,,
,INDEPENDENT,2
,NO AFFILIATION,4
,REPUBLICAN,10
,DEMOCRATIC,155
,Count of Voters in 2901:,171
2902,,
,REPUBLICAN,2
,INDEPENDENT,1
,OTHER,1
,DEMOCRATIC,74
,NO AFFILIATION,3
,Count of Voters in 2902:,81
2903,,
,DEMOCRATIC,239
,INDEPENDENT,3
,NON-PARTISAN,2
,NO AFFILIATION,30
,NO PARTY,2
,REPUBLICAN,18
,SOCIALIST,1
,Count of Voters in 2903:,295
2904,,
,INDEPENDENCE,1
,NO AFFILIATION,5
,DEMOCRATIC,166
,REPUBLICAN,8
,Count of Voters in 2904:,180
2905,,
,DEMOCRATIC,90
,NO PARTY,1
,Count of Voters in 2905:,91
2906,,
,OTHER,1
,NO AFFILIATION,4
,NO PARTY,1
,REPUBLICAN,5
,DEMOCRATIC,94
,Count of Voters in 2906:,105
2907,,
,REPUBLICAN,5
,DEMOCRATIC,141
,NO AFFILIATION,3
,NO PARTY,1
,Count of Voters in 2907:,150
2908,,
,REPUBLICAN,7
,DEMOCRATIC,118
,LIBERTARIAN,1
,NO AFFILIATION,3
,NO PARTY,1
,UNKNOWN,1
,Count of Voters in 2908:,131
2909,,
,REPUBLICAN,4
,NO AFFILIATION,2
,DEMOCRATIC,113
,Count of Voters in 2909:,119
2910,,
,ADARIAN,1
,NON-PARTISAN,1
,INDEPENDENT,4
,REPUBLICAN,14
,NO AFFILIATION,19
,DEMOCRATIC,254
,GREEN,1
,LIBERTARIAN,1
,UNKNOWN,1
,Count of Voters in 2910:,296
2911,,
,NO AFFILIATION,13
,DEMOCRATIC,186
,REPUBLICAN,8
,Count of Voters in 2911:,207
2912,,
,NO AFFILIATION,5
,LIBERTARIAN,1
,NO PARTY,1
,REPUBLICAN,5
,DEMOCRATIC,194
,Count of Voters in 2912:,206
2913,,
,LIBERTARIAN,1
,UNKNOWN,1
,DEMOCRATIC,227
,NO AFFILIATION,5
,NO PARTY,2
,INDEPENDENT,1
,REPUBLICAN,5
,Count of Voters in 2913:,242
2914,,
,DEMOCRATIC,125
,NO AFFILIATION,4
,REPUBLICAN,2
,Count of Voters in 2914:,131
2915,,
,DEMOCRATIC,181
,REPUBLICAN,8
,UNKNOWN,1
,NO AFFILIATION,2
,Count of Voters in 2915:,192
2916,,
,INDEPENDENT,2
,OTHER,1
,REPUBLICAN,3
,DEMOCRATIC,180
,NO AFFILIATION,3
,PATRIOT,1
,Count of Voters in 2916:,190
2917,,
,DEMOCRATIC,158
,NO PARTY,3
,REPUBLICAN,3
,INDEPENDENT,1
,NO AFFILIATION,3
,Count of Voters in 2917:,168
2918,,
,LIBERTARIAN,1
,REPUBLICAN,5
,DEMOCRATIC,201
,NO AFFILIATION,6
,Count of Voters in 2918:,213
3001,,
,INDEPENDENT,1
,NONE,1
,REPUBLICAN,38
,NO AFFILIATION,37
,NON-PARTISAN,1
,GREEN,1
,NO PARTY,1
,DEMOCRATIC,386
,LIBERTARIAN,2
,Count of Voters in 3001:,468
3002,,
,DEMOCRATIC,231
,NO AFFILIATION,12
,LIBERTARIAN,1
,INDEPENDENT,5
,NONE,1
,REPUBLICAN,21
,Count of Voters in 3002:,271
3003,,
,REPUBLICAN,15
3003,,
,PATRIOT,1
,NO PARTY,1
,DEMOCRATIC,195
,NO AFFILIATION,23
,Count of Voters in 3003:,235
3004,,
,NO AFFILIATION,14
,REPUBLICAN,11
,INDEPENT,1
,NO PARTY,4
,UNKNOWN,1
,DEMOCRATIC,127
,Count of Voters in 3004:,158
3005,,
,INDEPENDENT,1
,NON-PARTISAN,2
,NO PARTY,1
,REPUBLICAN,8
,DEMOCRATIC,188
,NO AFFILIATION,22
,Count of Voters in 3005:,222
3006,,
,NONE,1
,LIBERTARIAN,2
,NO AFFILIATION,33
,REPUBLICAN,21
,NO PARTY,2
,NON-PARTISAN,1
,GREEN,1
,DEMOCRATIC,306
,INDEPENDENT,4
,Count of Voters in 3006:,371
3007,,
,INDEPENDENT,6
,OTHER,2
,NON-PARTISAN,1
,NO PARTY,2
,REPUBLICAN,45
,GREEN,1
,DEMOCRATIC,400
,NO AFFILIATION,38
,Count of Voters in 3007:,495
3008,,
,REPUBLICAN,25
,INDEPENDENT,1
,NO AFFILIATION,26
,NON-PARTISAN,1
,GREEN,1
,LIBERTARIAN,2
,DEMOCRATIC,290
,Count of Voters in 3008:,346
3009,,
,INDEPENDENT,4
,REPUBLICAN,26
,NON-PARTISAN,4
,NO PARTY,2
,DEMOCRATIC,285
,LIBERTARIAN,1
,NO AFFILIATION,39
,GREEN,2
,Count of Voters in 3009:,363
3010,,
,GREEN,1
,DEMOCRATIC,160
,NO PARTY,1
,NON-PARTISAN,2
,UNKNOWN,1
,INDEPENDENT DEMOCRAT,1
,NO AFFILIATION,18
,INDEPENDENT,4
,REPUBLICAN,16
,Count of Voters in 3010:,204
3011,,
,INDEPENDENT,7
,NO PARTY,2
,REPUBLICAN,14
,DEMOCRATIC,200
,LIBERTARIAN,2
,NO AFFILIATION,20
,NON-PARTISAN,1
,Count of Voters in 3011:,246
3012,,
,NON-PARTISAN,3
,NO AFFILIATION,16
,DEMOCRATIC,221
,LIBERTARIAN,1
,INDEPENDENT,2
,REPUBLICAN,23
,Count of Voters in 3012:,266
3013,,
,LIBERTARIAN,1
,INDEPENDENT,1
,REPUBLICAN,23
,NO AFFILIATION,20
,NON-PARTISAN,2
,DEMOCRATIC,303
,GREEN,3
,Count of Voters in 3013:,353
3014,,
,NO PARTY,1
,DEMOCRATIC,216
,INDEPENDENT,1
,CHRISTIAN,1
,GREEN,2
,LIBERTARIAN,1
,REPUBLICAN,15
,NON-PARTISAN,4
,NO AFFILIATION,31
,Count of Voters in 3014:,272
3015,,
,NON-PARTISAN,2
,LIBERTARIAN,1
,NO AFFILIATION,19
,REPUBLICAN,18
,NONE,1
,GREEN,1
,DEMOCRATIC,282
,Count of Voters in 3015:,324
3016,,
,NO PARTY,1
,DEMOCRATIC,241
,INDEPENDENT,4
,GREEN,3
,LIBERTARIAN,1
,REPUBLICAN,32
,UNKNOWN,1
,NO AFFILIATION,42
,Count of Voters in 3016:,325
3017,,
,LIBERTARIAN,1
,NON-PARTISAN,6
,NO AFFILIATION,60
,REPUBLICAN,52
,INDEPENDENT,4
,DEMOCRATIC,407
,Count of Voters in 3017:,530
3101,,
,INDEPENDENT,3
,REPUBLICAN,13
,NO AFFILIATION,18
,DEMOCRATIC,119
,GREEN,2
,Count of Voters in 3101:,155
3102,,
,REPUBLICAN,8
,DEMOCRATIC,37
,NO AFFILIATION,3
,Count of Voters in 3102:,48
3103,,
,INDEPENDENT,3
,REPUBLICAN,18
,SOCIALIST,1
,LIBERTARIAN,1
,NO PARTY,2
,NON-PARTISAN,1
,DEMOCRATIC,108
,NO AFFILIATION,18
,CONSTITUTIONAL,1
,GREEN,2
,Count of Voters in 3103:,155
3104,,
,NO AFFILIATION,18
,INDEPENDENT,1
,REPUBLICAN,41
,DEMOCRATIC,199
,LIBERTARIAN,2
,GREEN,1
,OPEN,1
,Count of Voters in 3104:,263
3105,,
,LIBERTARIAN,1
,REPUBLICAN,35
,DEMOCRATIC,163
,NO AFFILIATION,9
,NON-PARTISAN,1
,INDEPENDENT,3
,Count of Voters in 3105:,212
3106,,
,LIBERTARIAN,3
,NONE,1
,REPUBLICAN,45
,DEMOCRATIC,94
,NO AFFILIATION,13
,Count of Voters in 3106:,156
3107,,
,DEMOCRATIC,198
,NO AFFILIATION,11
,NON-PARTISAN,1
,INDEPENDENT,3
,OTHER,2
,GREEN,1
,SOCIALIST,1
,LIBERTARIAN,4
,REPUBLICAN,58
,Count of Voters in 3107:,279
3108,,
,NON-PARTISAN,2
,SOCIALIST,1
,INDEPENDENT,2
,NO PARTY,1
,REPUBLICAN,35
,DEMOCRATIC,116
,INDEPENDENCE,1
,GREEN,3
,NO AFFILIATION,14
,Count of Voters in 3108:,175
3109,,
,CITIZEN'S,1
,REPUBLICAN,10
,NO PARTY,1
,UNKNOWN,1
,DEMOCRATIC,107
,LIBERTARIAN,2
,NO AFFILIATION,16
,GREEN,1
,Count of Voters in 3109:,139
3110,,
,INDEPENDENT,2
,LIBERTARIAN,2
,DEMOCRATIC,66
,REPUBLICAN,10
,NO AFFILIATION,9
,Count of Voters in 3110:,89
3111,,
,NON-PARTISAN,1
,INDEPENDENT,1
,REPUBLICAN,25
,NO AFFILIATION,22
,DEMOCRATIC,158
,GREEN,4
,NO PARTY,1
,Count of Voters in 3111:,212
3112,,
,REPUBLICAN,17
,NO AFFILIATION,14
,INDEPENDENT,1
,DEMOCRATIC,99
,Count of Voters in 3112:,131
3113,,
,SOCIALIST,1
,NO AFFILIATION,19
,REPUBLICAN,35
,NONE,1
,DEMOCRATIC,149
,LIBERTARIAN,2
,NON-PARTISAN,1
,INDEPENDENT,2
,Count of Voters in 3113:,210
3114,,
,INDEPENDENT,3
,NO AFFILIATION,20
,REPUBLICAN,61
,LIBERTARIAN,2
,DEMOCRATIC,144
,Count of Voters in 3114:,230
3115,,
,NO PARTY,1
,NO AFFILIATION,15
,DEMOCRATIC,131
,REPUBLICAN,57
,LIBERTARIAN,1
,INDEPENDENT,3
,Count of Voters in 3115:,208
3116,,
,NO AFFILIATION,14
,REPUBLICAN,63
,GREEN,1
,INDEPENDENT,1
,DEMOCRATIC,179
,Count of Voters in 3116:,258
3117,,
,UNKNOWN,1
,LIBERTARIAN,2
,INDEPENDENT,2
,NO AFFILIATION,5
,DEMOCRATIC,118
,REPUBLICAN,41
,Count of Voters in 3117:,169
3118,,
,NO AFFILIATION,15
,INDEPENDENCE,1
,INDEPENDENT,2
,REPUBLICAN,28
,GREEN,1
,DEMOCRATIC,102
,Count of Voters in 3118:,149
3119,,
,REPUBLICAN,33
,NO AFFILIATION,6
,DEMOCRATIC,128
,GREEN,1
,NO PARTY,3
,Count of Voters in 3119:,171
3201,,
,REPUBLICAN,1
,DEMOCRATIC,102
,Count of Voters in 3201:,103
3202,,
,DEMOCRATIC,167
,REPUBLICAN,6
,NO AFFILIATION,6
,Count of Voters in 3202:,179
3203,,
,DEMOCRATIC,163
,NO AFFILIATION,3
,REPUBLICAN,4
,Count of Voters in 3203:,170
3204,,
,NO AFFILIATION,4
,INDEPENDENT,1
,REPUBLICAN,4
,DEMOCRATIC,167
,Count of Voters in 3204:,176
3205,,
,DEMOCRATIC,32
,REPUBLICAN,3
,NO AFFILIATION,1
,Count of Voters in 3205:,36
3206,,
,NO AFFILIATION,4
,DEMOCRATIC,99
,REPUBLICAN,5
,Count of Voters in 3206:,108
3207,,
,GREEN,1
,INDEPENDENT,1
,NO AFFILIATION,9
,REPUBLICAN,11
,DEMOCRATIC,109
,Count of Voters in 3207:,131
3208,,
,INDEPENDENT,2
,REPUBLICAN,4
,NO AFFILIATION,5
,DEMOCRATIC,71
,Count of Voters in 3208:,82
3209,,
,NO PARTY,2
,DEMOCRATIC,143
,REPUBLICAN,3
,NO AFFILIATION,4
,Count of Voters in 3209:,152
3210,,
,DEMOCRATIC,197
,NO AFFILIATION,4
,NO PARTY,1
,INDEPENDENT,1
,REPUBLICAN,4
,Count of Voters in 3210:,207
3211,,
,INDEPENDENT,3
,OTHER,2
,LIBERTARIAN,1
,NO AFFILIATION,1
,DEMOCRATIC,161
,REPUBLICAN,3
,Count of Voters in 3211:,171
3212,,
,REPUBLICAN,2
,DEMOCRATIC,115
,GREEN,1
,NO AFFILIATION,5
,INDEPENDENT,1
,Count of Voters in 3212:,124
3213,,
,DEMOCRATIC,111
,GREEN,1
,CONSUMER'S,1
,REPUBLICAN,6
,Count of Voters in 3213:,119
3214,,
,NO AFFILIATION,2
,DEMOCRATIC,72
,REPUBLICAN,5
,Count of Voters in 3214:,79
3215,,
,DEMOCRATIC,147
,NO PARTY,2
,NO AFFILIATION,4
,REPUBLICAN,11
,Count of Voters in 3215:,164
3216,,
,REPUBLICAN,4
,UNKNOWN,1
,DEMOCRATIC,184
,NO AFFILIATION,3
,Count of Voters in 3216:,192
3217,,
,INDEPENDENT,1
,REPUBLICAN,6
,DEMOCRATIC,150
,NO AFFILIATION,4
,Count of Voters in 3217:,161
3218,,
,OTHER,1
,REPUBLICAN,4
,GREEN,1
,DEMOCRATIC,166
,NO AFFILIATION,3
,Count of Voters in 3218:,175
3219,,
,NON-PARTISAN,1
,NO PARTY,1
,REPUBLICAN,5
,DEMOCRATIC,201
,NO AFFILIATION,6
,Count of Voters in 3219:,214
3220,,
,DEMOCRATIC,152
,NON-PARTISAN,1
,NO AFFILIATION,3
,LIBERTARIAN,1
,REPUBLICAN,5
,Count of Voters in 3220:,162
3221,,
,INDEPENDENT,1
,REPUBLICAN,9
,DEMOCRATIC,188
,NO AFFILIATION,2
,NO PARTY,2
,Count of Voters in 3221:,202
3222,,
,NO PARTY,1
,DEMOCRATIC,171
,REPUBLICAN,3
,Count of Voters in 3222:,175
3223,,
,UNKNOWN,1
,DEMOCRATIC,187
,OTHER,1
,REPUBLICAN,2
,NO AFFILIATION,6
,Count of Voters in 3223:,197
3224,,
,NON-PARTISAN,1
,NO PARTY,1
,REPUBLICAN,2
,DEMOCRATIC,161
,NO AFFILIATION,2
,Count of Voters in 3224:,167
3225,,
,DEMOCRATIC,166
,NO AFFILIATION,4
,REPUBLICAN,1
3225,,
,UNKNOWN,1
,Count of Voters in 3225:,172
3226,,
,NO AFFILIATION,3
,REPUBLICAN,3
,NO PARTY,1
,DEMOCRATIC,167
,INDEPENDENT,2
,Count of Voters in 3226:,176
3227,,
,NO AFFILIATION,3
,REPUBLICAN,1
,DEMOCRATIC,103
,Count of Voters in 3227:,107
3228,,
,NO AFFILIATION,3
,REPUBLICAN,6
,LIBERTARIAN,1
,DEMOCRATIC,273
,Count of Voters in 3228:,283
3229,,
,CONSTITUTIONAL,1
,LIBERTARIAN,1
,NO AFFILIATION,2
,REPUBLICAN,2
,NO PARTY,1
,DEMOCRATIC,152
,Count of Voters in 3229:,159
3230,,
,REPUBLICAN,7
,DEMOCRATIC,204
,GREEN,1
,NO AFFILIATION,5
,Count of Voters in 3230:,217
3231,,
,DEMOCRATIC,185
,NO AFFILIATION,9
,REPUBLICAN,3
,Count of Voters in 3231:,197
3301,,
,CONSTITUTIONAL,1
,NO AFFILIATION,7
,REPUBLICAN,24
,DEMOCRATIC,129
,GREEN,1
,NO PARTY,2
,UNKNOWN,1
,Count of Voters in 3301:,165
3302,,
,DEMOCRATIC,106
,NO AFFILIATION,3
,REPUBLICAN,27
,Count of Voters in 3302:,136
3303,,
,NO PARTY,1
,DEMOCRATIC,103
,LIBERTARIAN,1
,NO AFFILIATION,5
,REPUBLICAN,18
,Count of Voters in 3303:,128
3304,,
,DEMOCRATIC,111
,NO AFFILIATION,8
,REPUBLICAN,15
,Count of Voters in 3304:,134
3305,,
,REPUBLICAN,12
,NO AFFILIATION,4
,DEMOCRATIC,149
,Count of Voters in 3305:,165
3306,,
,NO AFFILIATION,6
,REPUBLICAN,24
3306,,
,DEMOCRATIC,117
,Count of Voters in 3306:,147
3307,,
,LIBERTARIAN,1
,NO PARTY,1
,REPUBLICAN,15
,DEMOCRATIC,154
,NO AFFILIATION,11
,INDEPENDENT,1
,Count of Voters in 3307:,183
3308,,
,LIBERTARIAN,1
,REPUBLICAN,9
,DEMOCRATIC,111
,NO AFFILIATION,5
,INDEPENDENT,1
,Count of Voters in 3308:,127
3309,,
,LIBERTARIAN,1
,REPUBLICAN,21
,DEMOCRATIC,126
,NO AFFILIATION,4
,GREEN,1
,Count of Voters in 3309:,153
3310,,
,DEMOCRATIC,95
,NO AFFILIATION,4
,NO PARTY,1
,INDEPENDENT,1
,REPUBLICAN,17
,Count of Voters in 3310:,118
3311,,
,DEMOCRATIC,138
,NO AFFILIATION,8
,INDEPENDENT,2
,GREEN,1
,LIBERTARIAN,1
,REPUBLICAN,19
,UNKNOWN,1
,Count of Voters in 3311:,170
3312,,
,NO PARTY,1
,REPUBLICAN,16
,UNKNOWN,1
,INDEPENDENT,2
,DEMOCRATIC,156
,NO AFFILIATION,5
,Count of Voters in 3312:,181
3313,,
,REPUBLICAN,21
,UNKNOWN,1
,NO AFFILIATION,5
,DEMOCRATIC,121
,Count of Voters in 3313:,148
3314,,
,NO AFFILIATION,5
,NO PARTY,2
,REPUBLICAN,15
,DEMOCRATIC,106
,CHRISTIAN,1
,Count of Voters in 3314:,129
3315,,
,DEMOCRATIC,108
,NO AFFILIATION,8
,INDEPENDENT,1
,REPUBLICAN,9
,NO PARTY,1
,Count of Voters in 3315:,127
3316,,
,DEMOCRATIC,71
,NO AFFILIATION,1
,REPUBLICAN,11
,Count of Voters in 3316:,83
3317,,
,NO AFFILIATION,2
,DEMOCRATIC,48
,REPUBLICAN,3
,Count of Voters in 3317:,53
3318,,
,INDEPENDENT,1
,NO AFFILIATION,1
,DEMOCRATIC,48
,REPUBLICAN,6
,Count of Voters in 3318:,56
3319,,
,NO AFFILIATION,2
,DEMOCRATIC,90
,REPUBLICAN,5
,Count of Voters in 3319:,97
3320,,
,REPUBLICAN,4
,DEMOCRATIC,57
,NO AFFILIATION,5
,NO PARTY,3
,Count of Voters in 3320:,69
3321,,
,DEMOCRATIC,58
,NO AFFILIATION,3
,REPUBLICAN,4
,Count of Voters in 3321:,65
3322,,
,REPUBLICAN,7
,NO AFFILIATION,6
,NO PARTY,1
,DEMOCRATIC,109
,GREEN,1
,Count of Voters in 3322:,124
3323,,
,NO AFFILIATION,3
,DEMOCRATIC,79
,REPUBLICAN,12
,Count of Voters in 3323:,94
3324,,
,DEMOCRATIC,66
,NO AFFILIATION,1
,REPUBLICAN,8
